,,,S,timedelta,bx_gse,by_gse,bz_gse,theta_gse,phi_gse,bx_gsm,by_gsm,bz_gsm,theta_gsm,phi_gsm,bt,density,speed,temperature,source
,,,train_a,0 days 00:00:00,-5.55,3,1.25,11.09,153.37,-5.55,3,1.25,11.09,153.37,6.8,1.53,383.92,110237,ac
,,,train_a,0 days 00:01:00,-5.58,3.16,1.17,10.1,151.91,-5.58,3.16,1.17,10.1,151.91,6.83,1.69,381.79,123825,ac
,,,train_a,0 days 00:02:00,-5.15,3.66,0.85,7.87,146.04,-5.15,3.66,0.85,7.87,146.04,6.77,1.97,389.11,82548,ac
,,,train_a,0 days 00:03:00,-5.2,3.68,0.68,6.17,146.17,-5.2,3.68,0.68,6.17,146.17,6.74,1.97,389.11,82548,ac
,,,train_a,0 days 00:04:00,-5.12,3.68,0.49,4.62,145.72,-5.12,3.68,0.49,4.62,145.72,6.65,1.77,384.26,94269,ac
,,,train_a,0 days 00:05:00,-4.78,3.86,0.05,0.8,142.47,-4.78,3.86,0.05,0.8,142.47,6.54,0.93,367.98,28227,ac
,,,train_a,0 days 00:06:00,-5.15,3.53,0.52,4.8,147.06,-5.15,3.53,0.52,4.8,147.06,6.63,1.74,384.72,87302,ac
,,,train_a,0 days 00:07:00,-5.35,3.06,1.21,10.81,152.06,-5.35,3.06,1.21,10.81,152.06,6.65,1.7,382.41,101225,ac
,,,train_a,0 days 00:08:00,-5.77,2.69,0.73,6.66,156.36,-5.77,2.69,0.73,6.66,156.36,6.7,1.1,357.36,79922,ac
,,,train_a,0 days 00:09:00,-6.07,2.2,0.27,2.65,161.24,-6.07,2.2,0.27,2.65,161.24,6.8,1.77,380.53,125156,ac
,,,train_a,0 days 00:10:00,-6.37,1.5,0.42,3.81,167.66,-6.37,1.5,0.42,3.81,167.66,6.87,1.19,359.03,53480,ac
,,,train_a,0 days 00:11:00,-6.3,1.75,0.74,6.41,165.49,-6.3,1.75,0.74,6.41,165.49,6.9,1.31,351.58,62025,ac
,,,train_a,0 days 00:12:00,-6.15,2.16,0.57,4.82,161.8,-6.15,2.16,0.57,4.82,161.8,6.9,1.13,360.16,48093,ac
,,,train_a,0 days 00:13:00,-6.26,1.96,0.5,4.54,163.66,-6.26,1.96,0.5,4.54,163.66,6.92,1.92,380.25,130687,ac
,,,train_a,0 days 00:14:00,-6.36,1.53,1.07,9.05,167.56,-6.36,1.53,1.07,9.05,167.56,6.95,1.89,377.59,131392,ac
,,,train_a,0 days 00:15:00,-6.06,1.6,1.94,16.46,166.29,-6.06,1.6,1.94,16.46,166.29,6.84,1.36,354.94,49463,ac
,,,train_a,0 days 00:16:00,-6.19,1.33,1.69,14.36,168.81,-6.19,1.33,1.69,14.36,168.81,6.88,2.1,373.2,144173,ac
,,,train_a,0 days 00:17:00,-6.01,0.51,2.55,21.61,175.77,-6.01,0.51,2.55,21.61,175.77,6.89,1.56,351.69,54413,ac
